id,Ability,Potential,Positions,Caps / Goals,Foot,Height,Weight,Aerial Reach,Command of Area,Communication,Eccentricity,First Touch,Handling,Kicking,One on Ones,Passing,Punching (Tendency),Reflexes,Rushing Out (Tendency),Throwing,Aggression,Anticipation,Bravery,Composure,Concentration,Decisions,Determination,Flair,Leadership,Off the Ball,Positioning,Teamwork,Vision,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Corners,Crossing,Dribbling,Finishing,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Penalty Taking,Tackling,Technique,BMI,value_increased
80031.0,63.0,69.4,34,3,0,0.4102564102564106,0.357142857142857,50.0,55.0,50.0,30.0,70.0,57.0,57.0,62.0,65.0,53.0,60.0,49.0,58.0,75.0,65.0,70.0,60.0,40.0,55.0,65.0,65.0,20.0,60.0,25.0,60.0,60.0,60.0,80.0,75.0,70.0,40.0,70.0,70.0,65.0,70.0,50.0,50.0,75.0,35.0,35.0,35.0,40.0,45.0,20.0,70.0,30.0,70.0,0.40777263638403816,False
98891.0,63.0,64.8,2,2,1,0.384615384615385,0.04761904761904745,59.0,58.0,48.0,40.0,70.0,61.0,60.0,58.0,70.0,40.0,67.0,43.0,51.0,55.0,60.0,60.0,60.0,60.0,60.0,70.0,60.0,30.0,75.0,30.0,60.0,65.0,60.0,65.0,70.0,50.0,30.0,70.0,60.0,60.0,40.0,60.0,60.0,65.0,60.0,55.0,30.0,60.0,25.0,30.0,60.0,30.0,70.0,0.0,False
12693.0,40.0,76.4,32,2,1,0.7435897435897436,0.45238095238095233,60.0,55.0,35.0,65.0,25.0,65.0,65.0,25.0,45.0,50.0,65.0,80.0,35.0,55.0,25.0,75.0,35.0,60.0,60.0,65.0,5.0,45.0,15.0,30.0,35.0,30.0,55.0,55.0,50.0,25.0,65.0,30.0,55.0,40.0,20.0,32.0,39.0,54.0,60.0,25.0,51.0,46.0,25.0,36.0,5.0,37.0,10.0,0.21693878194263827,False
70263.0,50.0,63.8,43,2,0,0.5128205128205128,0.38095238095238093,57.0,51.0,50.0,41.0,50.0,54.0,49.0,56.0,45.0,47.0,63.0,42.0,58.0,60.0,40.0,55.0,50.0,65.0,40.0,70.0,60.0,20.0,55.0,35.0,55.0,45.0,60.0,70.0,60.0,75.0,50.0,70.0,75.0,55.0,45.0,30.0,40.0,65.0,55.0,25.0,50.0,55.0,30.0,20.0,30.0,30.0,65.0,0.33832342607643784,False
26896.0,53.0,61.2,14,2,0,0.5897435897435903,0.47619047619047605,55.0,67.0,53.0,32.0,60.0,55.0,61.0,56.0,55.0,42.0,60.0,45.0,43.0,60.0,50.0,55.0,55.0,55.0,55.0,70.0,40.0,50.0,65.0,55.0,65.0,45.0,75.0,65.0,55.0,50.0,50.0,70.0,65.0,70.0,45.0,50.0,55.0,50.0,50.0,35.0,45.0,40.0,45.0,50.0,25.0,60.0,65.0,0.38802941367809374,False
76557.0,65.0,63.6,15,2,0,0.4358974358974361,0.38095238095238093,52.0,55.0,47.0,22.0,50.0,60.0,54.0,65.0,55.0,54.0,62.0,46.0,59.0,20.0,60.0,35.0,60.0,60.0,55.0,55.0,70.0,35.0,70.0,45.0,70.0,70.0,65.0,75.0,70.0,65.0,40.0,85.0,75.0,80.0,40.0,35.0,55.0,50.0,60.0,45.0,35.0,55.0,30.0,45.0,40.0,45.0,65.0,0.4145241925467962,False
45222.0,59.0,71.0,34,2,1,0.3589743589743595,0.30952380952380953,56.0,63.0,53.0,42.0,60.0,59.0,58.0,54.0,65.0,47.0,64.0,52.0,51.0,65.0,60.0,70.0,65.0,55.0,60.0,65.0,70.0,35.0,65.0,40.0,65.0,65.0,65.0,60.0,60.0,65.0,40.0,75.0,65.0,70.0,55.0,50.0,55.0,60.0,55.0,50.0,35.0,60.0,30.0,40.0,50.0,50.0,65.0,0.3933497891471951,False
62224.0,0.0,51.4,33,2,1,0.6923076923076925,0.6904761904761905,60.0,46.0,44.0,40.0,60.0,50.0,45.0,51.0,60.0,54.0,64.0,41.0,50.0,55.0,65.0,60.0,55.0,60.0,50.0,25.0,45.0,55.0,45.0,55.0,60.0,40.0,55.0,55.0,65.0,65.0,50.0,45.0,50.0,55.0,65.0,30.0,40.0,50.0,45.0,45.0,50.0,45.0,40.0,55.0,50.0,60.0,55.0,0.5549547913400115,False
90623.0,39.0,64.4,14,2,0,0.5641025641025648,0.2857142857142856,63.0,40.0,48.0,36.0,50.0,63.0,58.0,49.0,50.0,42.0,69.0,51.0,38.0,25.0,35.0,40.0,45.0,30.0,70.0,55.0,25.0,40.0,25.0,35.0,40.0,45.0,45.0,55.0,65.0,15.0,55.0,70.0,70.0,60.0,25.0,20.0,35.0,40.0,15.0,30.0,25.0,10.0,30.0,30.0,10.0,60.0,55.0,0.1660422925780083,False
99480.0,29.0,64.8,12,2,1,0.7692307692307692,0.5238095238095237,59.0,58.0,48.0,40.0,60.0,61.0,60.0,58.0,25.0,40.0,67.0,43.0,51.0,70.0,40.0,35.0,20.0,35.0,65.0,60.0,40.0,5.0,15.0,50.0,25.0,40.0,35.0,50.0,65.0,30.0,75.0,45.0,55.0,20.0,25.0,25.0,10.0,35.0,20.0,25.0,30.0,30.0,5.0,20.0,15.0,45.0,40.0,0.2798565853330486,False
78148.0,52.0,63.6,23,2,1,0.4871794871794872,0.45238095238095233,52.0,55.0,47.0,22.0,60.0,60.0,54.0,65.0,70.0,54.0,62.0,46.0,59.0,60.0,65.0,55.0,55.0,65.0,55.0,55.0,45.0,50.0,50.0,55.0,65.0,65.0,65.0,60.0,55.0,55.0,45.0,40.0,50.0,50.0,55.0,50.0,45.0,55.0,25.0,50.0,45.0,60.0,25.0,55.0,45.0,60.0,65.0,0.4590771849575426,False
34300.0,50.0,76.8,23,2,1,0.666666666666667,0.5476190476190474,54.0,65.0,51.0,39.0,65.0,55.0,61.0,55.0,65.0,45.0,60.0,43.0,46.0,45.0,50.0,45.0,35.0,20.0,65.0,35.0,25.0,10.0,40.0,60.0,40.0,65.0,60.0,65.0,65.0,40.0,65.0,55.0,65.0,45.0,30.0,30.0,20.0,30.0,40.0,25.0,35.0,65.0,10.0,40.0,15.0,65.0,65.0,0.4038373131776727,False
18702.0,0.0,71.6,14,2,0,0.5897435897435903,0.6190476190476188,61.0,56.0,53.0,41.0,50.0,62.0,58.0,52.0,45.0,49.0,67.0,63.0,49.0,45.0,30.0,45.0,45.0,35.0,70.0,30.0,35.0,55.0,40.0,45.0,45.0,45.0,45.0,70.0,45.0,40.0,60.0,85.0,65.0,45.0,30.0,25.0,45.0,40.0,15.0,10.0,45.0,35.0,35.0,60.0,15.0,75.0,35.0,0.5713444319506145,False
69638.0,54.0,63.8,0,2,1,0.3589743589743595,0.23809523809523792,57.0,51.0,50.0,41.0,65.0,54.0,49.0,56.0,65.0,47.0,63.0,42.0,58.0,45.0,55.0,50.0,60.0,60.0,55.0,60.0,75.0,40.0,60.0,35.0,50.0,65.0,60.0,70.0,70.0,60.0,35.0,60.0,65.0,60.0,45.0,60.0,55.0,65.0,40.0,55.0,35.0,40.0,10.0,25.0,60.0,25.0,70.0,0.29202222574091796,False
18792.0,53.0,65.0,31,2,1,0.7948717948717956,0.5952380952380951,61.0,56.0,53.0,41.0,65.0,62.0,58.0,52.0,60.0,49.0,67.0,63.0,49.0,50.0,50.0,50.0,55.0,45.0,40.0,55.0,55.0,55.0,75.0,55.0,50.0,45.0,55.0,50.0,60.0,25.0,70.0,75.0,75.0,50.0,40.0,50.0,60.0,55.0,40.0,45.0,45.0,35.0,45.0,50.0,30.0,55.0,65.0,0.34135197846981336,False
72592.0,68.0,63.6,8,2,1,0.3333333333333339,0.2142857142857142,51.0,49.0,49.0,34.0,75.0,58.0,46.0,52.0,70.0,49.0,65.0,31.0,53.0,35.0,55.0,40.0,65.0,70.0,70.0,70.0,75.0,50.0,75.0,25.0,50.0,50.0,45.0,75.0,80.0,60.0,45.0,60.0,75.0,60.0,60.0,35.0,50.0,75.0,75.0,40.0,55.0,45.0,40.0,25.0,60.0,30.0,75.0,0.28316437515028725,False
55445.0,47.0,49.6,14,2,0,0.4871794871794872,0.30952380952380953,60.0,48.0,47.0,43.0,55.0,54.0,47.0,53.0,45.0,56.0,65.0,51.0,51.0,40.0,45.0,45.0,55.0,45.0,60.0,55.0,35.0,25.0,65.0,50.0,45.0,55.0,60.0,75.0,65.0,60.0,45.0,50.0,70.0,50.0,35.0,35.0,50.0,60.0,30.0,45.0,35.0,25.0,40.0,35.0,40.0,45.0,65.0,0.26752430660462667,False
65771.0,45.0,51.4,6,2,1,0.5128205128205128,0.26190476190476186,60.0,46.0,44.0,40.0,60.0,50.0,45.0,51.0,70.0,54.0,64.0,41.0,50.0,50.0,30.0,45.0,60.0,40.0,50.0,30.0,65.0,10.0,45.0,40.0,45.0,30.0,50.0,70.0,50.0,50.0,45.0,60.0,65.0,45.0,30.0,45.0,55.0,65.0,65.0,40.0,50.0,45.0,40.0,35.0,20.0,35.0,70.0,0.18045499362539208,False
97498.0,43.0,64.8,22,2,1,0.6153846153846159,0.5476190476190474,59.0,58.0,48.0,40.0,60.0,61.0,60.0,58.0,50.0,40.0,67.0,43.0,51.0,45.0,45.0,40.0,40.0,45.0,60.0,65.0,60.0,55.0,40.0,55.0,40.0,50.0,75.0,40.0,60.0,40.0,50.0,50.0,55.0,70.0,35.0,35.0,35.0,45.0,70.0,25.0,45.0,35.0,5.0,40.0,30.0,70.0,55.0,0.45399336130512746,False
41551.0,54.0,71.0,16,2,0,0.7692307692307692,0.6190476190476188,56.0,63.0,53.0,42.0,60.0,59.0,58.0,54.0,50.0,47.0,64.0,52.0,51.0,25.0,55.0,55.0,50.0,50.0,50.0,80.0,25.0,65.0,50.0,65.0,55.0,55.0,60.0,55.0,40.0,50.0,80.0,85.0,55.0,50.0,60.0,35.0,45.0,35.0,40.0,50.0,65.0,30.0,50.0,60.0,45.0,60.0,50.0,0.3932729437778002,False
56540.0,54.0,49.6,37,2,1,0.5128205128205128,0.45238095238095233,60.0,48.0,47.0,43.0,65.0,54.0,47.0,53.0,65.0,56.0,65.0,51.0,51.0,65.0,50.0,40.0,50.0,50.0,80.0,70.0,50.0,35.0,70.0,60.0,55.0,55.0,60.0,60.0,55.0,60.0,65.0,60.0,45.0,55.0,55.0,60.0,55.0,65.0,65.0,60.0,35.0,60.0,45.0,50.0,35.0,45.0,60.0,0.43304448554706565,False
99588.0,46.0,64.8,47,2,1,0.6153846153846159,0.4285714285714284,59.0,58.0,48.0,40.0,55.0,61.0,60.0,58.0,50.0,40.0,67.0,43.0,51.0,55.0,60.0,55.0,70.0,50.0,60.0,30.0,55.0,20.0,60.0,25.0,50.0,55.0,45.0,55.0,40.0,50.0,65.0,50.0,60.0,45.0,65.0,25.0,30.0,55.0,60.0,35.0,50.0,55.0,20.0,25.0,60.0,25.0,55.0,0.30287786925169535,False
68335.0,40.0,57.0,16,2,0,0.8205128205128212,0.5714285714285714,55.0,47.0,48.0,46.0,50.0,51.0,46.0,49.0,45.0,47.0,63.0,40.0,52.0,30.0,40.0,50.0,25.0,35.0,45.0,85.0,25.0,30.0,35.0,40.0,20.0,40.0,45.0,50.0,50.0,45.0,65.0,65.0,55.0,60.0,35.0,30.0,30.0,25.0,10.0,10.0,55.0,30.0,10.0,65.0,15.0,75.0,45.0,0.29038099251080607,False
31357.0,58.0,62.6,44,2,0,0.6153846153846159,0.6190476190476188,54.0,65.0,51.0,39.0,65.0,55.0,61.0,55.0,75.0,45.0,60.0,43.0,46.0,35.0,60.0,35.0,40.0,40.0,75.0,60.0,55.0,25.0,40.0,25.0,55.0,35.0,65.0,60.0,75.0,70.0,75.0,55.0,65.0,45.0,70.0,55.0,70.0,70.0,50.0,50.0,70.0,50.0,30.0,15.0,20.0,25.0,70.0,0.5446626565371868,False
35658.0,52.0,71.0,4,2,0,0.4358974358974361,0.4285714285714284,54.0,65.0,51.0,39.0,50.0,55.0,61.0,55.0,50.0,45.0,60.0,43.0,46.0,30.0,40.0,70.0,40.0,50.0,40.0,55.0,35.0,20.0,40.0,20.0,50.0,25.0,50.0,80.0,60.0,50.0,40.0,40.0,75.0,50.0,40.0,40.0,40.0,65.0,50.0,35.0,30.0,35.0,40.0,25.0,15.0,25.0,50.0,0.47981806599116816,True
55106.0,19.0,30.0,33,2,1,0.5641025641025648,0.357142857142857,60.0,48.0,47.0,43.0,65.0,54.0,47.0,53.0,50.0,56.0,65.0,51.0,51.0,50.0,25.0,20.0,20.0,25.0,65.0,60.0,25.0,15.0,25.0,15.0,30.0,60.0,55.0,35.0,45.0,10.0,40.0,60.0,55.0,35.0,20.0,10.0,15.0,10.0,15.0,20.0,5.0,15.0,5.0,15.0,5.0,40.0,55.0,0.2587042600693408,False
44584.0,40.0,73.2,49,2,0,0.23076923076923084,0.09523809523809512,56.0,63.0,53.0,42.0,45.0,59.0,58.0,54.0,60.0,47.0,64.0,52.0,51.0,60.0,35.0,40.0,40.0,45.0,60.0,15.0,55.0,25.0,70.0,45.0,40.0,45.0,45.0,70.0,70.0,40.0,10.0,70.0,70.0,35.0,5.0,35.0,45.0,35.0,30.0,35.0,35.0,35.0,30.0,35.0,20.0,45.0,50.0,0.20831303624870867,False
48044.0,75.0,88.0,0,2,0,0.2564102564102564,0.2142857142857142,63.0,59.0,54.0,42.0,85.0,59.0,53.0,58.0,80.0,57.0,64.0,51.0,56.0,35.0,65.0,65.0,65.0,70.0,70.0,70.0,80.0,40.0,75.0,40.0,70.0,80.0,70.0,75.0,85.0,75.0,30.0,70.0,70.0,70.0,40.0,55.0,65.0,75.0,70.0,65.0,40.0,60.0,25.0,40.0,60.0,40.0,85.0,0.36055922259136186,False
37751.0,42.0,71.0,47,2,1,0.4871794871794872,0.357142857142857,54.0,65.0,51.0,39.0,65.0,55.0,61.0,55.0,35.0,45.0,60.0,43.0,46.0,25.0,45.0,10.0,30.0,35.0,55.0,65.0,55.0,10.0,65.0,25.0,30.0,35.0,35.0,65.0,65.0,30.0,30.0,75.0,65.0,30.0,40.0,30.0,10.0,65.0,65.0,30.0,45.0,20.0,5.0,20.0,15.0,20.0,55.0,0.33137526605559864,True
29758.0,42.0,58.4,20,2,0,0.5384615384615383,0.45238095238095233,54.0,65.0,51.0,39.0,55.0,55.0,61.0,55.0,55.0,45.0,60.0,43.0,46.0,30.0,50.0,40.0,30.0,30.0,45.0,55.0,60.0,25.0,50.0,45.0,55.0,50.0,45.0,65.0,65.0,35.0,55.0,70.0,65.0,40.0,35.0,30.0,55.0,55.0,30.0,25.0,30.0,30.0,50.0,35.0,35.0,35.0,60.0,0.4074397166030972,False
16970.0,59.0,76.4,2,2,1,0.3333333333333339,0.33333333333333326,61.0,56.0,53.0,41.0,60.0,62.0,58.0,52.0,55.0,49.0,67.0,63.0,49.0,45.0,55.0,40.0,45.0,45.0,60.0,45.0,85.0,15.0,70.0,25.0,45.0,55.0,55.0,80.0,75.0,40.0,40.0,60.0,80.0,40.0,25.0,40.0,55.0,75.0,70.0,30.0,25.0,40.0,10.0,15.0,50.0,15.0,80.0,0.4539903665470606,False
98726.0,33.0,64.8,24,2,1,0.4615384615384617,0.30952380952380953,59.0,58.0,48.0,40.0,70.0,61.0,60.0,58.0,70.0,40.0,67.0,43.0,51.0,75.0,50.0,35.0,25.0,15.0,70.0,55.0,55.0,55.0,40.0,40.0,60.0,60.0,45.0,40.0,40.0,35.0,30.0,65.0,40.0,25.0,20.0,30.0,35.0,40.0,40.0,30.0,30.0,30.0,20.0,25.0,20.0,35.0,60.0,0.2918482918441192,False
76105.0,60.0,63.6,14,2,0,0.5641025641025648,0.47619047619047605,52.0,55.0,47.0,22.0,50.0,60.0,54.0,65.0,60.0,54.0,62.0,46.0,59.0,60.0,60.0,75.0,45.0,40.0,40.0,75.0,50.0,30.0,65.0,45.0,65.0,65.0,65.0,80.0,60.0,55.0,60.0,80.0,80.0,75.0,65.0,45.0,55.0,60.0,40.0,40.0,45.0,55.0,50.0,40.0,30.0,65.0,55.0,0.4131408725548946,False
95616.0,53.0,68.6,32,2,1,0.6153846153846159,0.5476190476190474,65.0,60.0,60.0,65.0,60.0,70.0,55.0,70.0,60.0,35.0,70.0,40.0,50.0,60.0,55.0,55.0,35.0,50.0,55.0,70.0,50.0,65.0,10.0,60.0,35.0,45.0,35.0,60.0,65.0,45.0,70.0,70.0,45.0,35.0,40.0,45.0,52.0,60.0,46.0,35.0,41.0,47.0,30.0,32.0,35.0,36.0,55.0,0.45399336130512746,False
48765.0,38.0,68.6,6,2,1,0.23076923076923084,0.16666666666666652,60.0,54.0,51.0,47.0,55.0,58.0,49.0,54.0,45.0,58.0,63.0,48.0,51.0,70.0,55.0,30.0,40.0,40.0,35.0,15.0,50.0,45.0,25.0,35.0,45.0,60.0,50.0,70.0,70.0,45.0,20.0,40.0,70.0,35.0,10.0,35.0,55.0,65.0,40.0,25.0,35.0,30.0,35.0,35.0,10.0,35.0,65.0,0.3156886981628,False
66179.0,53.0,51.4,23,2,1,0.6410256410256414,0.5476190476190474,60.0,46.0,44.0,40.0,70.0,50.0,45.0,51.0,70.0,54.0,64.0,41.0,50.0,45.0,55.0,50.0,45.0,45.0,75.0,95.0,25.0,15.0,50.0,60.0,35.0,75.0,60.0,40.0,50.0,55.0,45.0,50.0,60.0,40.0,40.0,45.0,30.0,35.0,40.0,45.0,45.0,50.0,30.0,75.0,15.0,55.0,70.0,0.4287130970604618,False
49504.0,80.0,62.4,47,2,0,0.8461538461538467,0.7619047619047616,60.0,54.0,51.0,47.0,70.0,58.0,49.0,54.0,60.0,58.0,63.0,48.0,51.0,55.0,80.0,70.0,75.0,65.0,60.0,80.0,80.0,50.0,90.0,35.0,60.0,65.0,65.0,75.0,70.0,75.0,75.0,65.0,90.0,60.0,80.0,35.0,45.0,65.0,90.0,45.0,70.0,60.0,25.0,30.0,85.0,35.0,65.0,0.48769441271870195,False
29508.0,29.0,30.0,47,2,0,0.5641025641025648,0.4999999999999998,54.0,65.0,51.0,39.0,60.0,55.0,61.0,55.0,30.0,45.0,60.0,43.0,46.0,35.0,35.0,20.0,50.0,30.0,60.0,30.0,55.0,25.0,55.0,25.0,25.0,5.0,35.0,55.0,45.0,30.0,50.0,65.0,40.0,60.0,30.0,25.0,20.0,60.0,55.0,25.0,65.0,30.0,5.0,20.0,35.0,10.0,55.0,0.44402819505200575,False
22763.0,43.0,60.4,47,2,1,0.6410256410256414,0.4999999999999998,48.0,59.0,52.0,28.0,60.0,58.0,59.0,53.0,35.0,42.0,61.0,49.0,40.0,50.0,40.0,30.0,45.0,30.0,55.0,30.0,60.0,30.0,65.0,10.0,30.0,10.0,35.0,60.0,50.0,35.0,60.0,80.0,50.0,40.0,30.0,30.0,15.0,65.0,65.0,30.0,65.0,35.0,20.0,25.0,20.0,5.0,50.0,0.36891511214279826,True
36092.0,35.0,71.0,7,2,0,0.12820512820512864,0.04761904761904745,54.0,65.0,51.0,39.0,40.0,55.0,61.0,55.0,45.0,45.0,60.0,43.0,46.0,40.0,20.0,40.0,35.0,20.0,35.0,30.0,40.0,60.0,45.0,30.0,35.0,55.0,40.0,65.0,65.0,35.0,5.0,80.0,65.0,50.0,5.0,30.0,40.0,35.0,60.0,30.0,35.0,30.0,25.0,20.0,25.0,35.0,40.0,0.2362337217437649,False
